,Sitename,ID,Year,Month,Lat,Long,Subwatershed,Watershed,Sample_Type,clusters,cluster_name,cdem_altitude,cdsm_altitude
117,STREAM_GWASXX_B_XWAP_0008_C_20200917_COI,X2020_51.283056_114.837778,2020,9,51.283056,-114.837778,Bow,South Saskatchewan,WETLAND,5,Wetland,1271.0,1264.38
163,STREAM_IERXXX_B_XBIR_0001_A_20210728_COI,X2021_49.858015_114.878694,2021,7,49.858015,-114.878694,Columbia,Columbia,WETLAND,5,Wetland,1187.0,1187.291
164,STREAM_IERXXX_B_XBIR_0001_B_20210728_COI,X2021_49.858015_114.878694,2021,7,49.858015,-114.878694,Columbia,Columbia,WETLAND,5,Wetland,1187.0,1187.291
165,STREAM_IERXXX_B_XBIR_0001_C_20210728_COI,X2021_49.858015_114.878694,2021,7,49.858015,-114.878694,Columbia,Columbia,WETLAND,5,Wetland,1187.0,1187.291
166,STREAM_IERXXX_B_XBUF_0001_A_20210724_COI,X2021_49.688046_115.687163,2021,7,49.688046,-115.687163,Columbia,Columbia,WETLAND,5,Wetland,767.0,765.828
167,STREAM_IERXXX_B_XBUF_0001_B_20210724_COI,X2021_49.688046_115.687163,2021,7,49.688046,-115.687163,Columbia,Columbia,WETLAND,5,Wetland,767.0,765.828
168,STREAM_IERXXX_B_XBUF_0001_C_20210724_COI,X2021_49.688046_115.687163,2021,7,49.688046,-115.687163,Columbia,Columbia,WETLAND,5,Wetland,767.0,765.828
169,STREAM_IERXXX_B_XCHC_0001_A_20210722_COI,X2021_49.702125_115.72277,2021,7,49.702125,-115.72277,Columbia,Columbia,WETLAND,5,Wetland,769.0,766.574
170,STREAM_IERXXX_B_XCHC_0001_B_20210722_COI,X2021_49.702125_115.72277,2021,7,49.702125,-115.72277,Columbia,Columbia,WETLAND,5,Wetland,769.0,766.574
171,STREAM_IERXXX_B_XCHC_0001_C_20210722_COI,X2021_49.702125_115.72277,2021,7,49.702125,-115.72277,Columbia,Columbia,WETLAND,5,Wetland,769.0,766.574
172,STREAM_IERXXX_B_XEAR_0001_A_20210726_COI,X2021_49.036928_115.235083,2021,7,49.036928,-115.235083,Columbia,Columbia,WETLAND,5,Wetland,805.0,806.208
173,STREAM_IERXXX_B_XEAR_0001_B_20210726_COI,X2021_49.036928_115.235083,2021,7,49.036928,-115.235083,Columbia,Columbia,WETLAND,5,Wetland,805.0,806.208
174,STREAM_IERXXX_B_XEAR_0001_C_20210726_COI,X2021_49.036928_115.235083,2021,7,49.036928,-115.235083,Columbia,Columbia,WETLAND,5,Wetland,805.0,806.208
175,STREAM_IERXXX_B_XEES_0001_A_20210713_COI,X2021_49.09045_116.46901,2021,7,49.09045,-116.46901,Columbia,Columbia,WETLAND,5,Wetland,647.0,649.291
176,STREAM_IERXXX_B_XEES_0001_B_20210713_COI,X2021_49.09045_116.46901,2021,7,49.09045,-116.46901,Columbia,Columbia,WETLAND,5,Wetland,647.0,649.291
177,STREAM_IERXXX_B_XEES_0001_C_20210713_COI,X2021_49.09045_116.46901,2021,7,49.09045,-116.46901,Columbia,Columbia,WETLAND,5,Wetland,647.0,649.291
178,STREAM_IERXXX_B_XHWR_0001_A_20210718_COI,X2021_49.171802_117.505135,2021,7,49.171802,-117.505135,Columbia,Columbia,WETLAND,5,Wetland,616.0,619.65
179,STREAM_IERXXX_B_XHWR_0001_B_20210718_COI,X2021_49.171802_117.505135,2021,7,49.171802,-117.505135,Columbia,Columbia,WETLAND,5,Wetland,616.0,619.65
180,STREAM_IERXXX_B_XHWR_0001_C_20210718_COI,X2021_49.171802_117.505135,2021,7,49.171802,-117.505135,Columbia,Columbia,WETLAND,5,Wetland,616.0,619.65
181,STREAM_IERXXX_B_XMCO_0002_A_20210708_COI,X2021_50.227851_116.981486,2021,7,50.227851,-116.981486,Columbia,Columbia,WETLAND,5,Wetland,550.0,539.356
182,STREAM_IERXXX_B_XMCO_0002_B_20210708_COI,X2021_50.227851_116.981486,2021,7,50.227851,-116.981486,Columbia,Columbia,WETLAND,5,Wetland,550.0,539.356
183,STREAM_IERXXX_B_XMCO_0002_C_20210709_COI,X2021_50.227851_116.981486,2021,7,50.227851,-116.981486,Columbia,Columbia,WETLAND,5,Wetland,550.0,539.356
184,STREAM_IERXXX_B_XMCO_0007_A_20210710_COI,X2021_50.231486_116.972008,2021,7,50.231486,-116.972008,Columbia,Columbia,WETLAND,5,Wetland,551.0,542.803
185,STREAM_IERXXX_B_XMCO_0007_B_20210710_COI,X2021_50.231486_116.972008,2021,7,50.231486,-116.972008,Columbia,Columbia,WETLAND,5,Wetland,551.0,542.803
186,STREAM_IERXXX_B_XMCO_0007_C_20210710_COI,X2021_50.231486_116.972008,2021,7,50.231486,-116.972008,Columbia,Columbia,WETLAND,5,Wetland,551.0,542.803
187,STREAM_IERXXX_B_XSAS_0001_A_20210717_COI,X2021_49.186419_117.289871,2021,7,49.186419,-117.289871,Columbia,Columbia,WETLAND,5,Wetland,667.0,665.477
188,STREAM_IERXXX_B_XSAS_0001_B_20210717_COI,X2021_49.186419_117.289871,2021,7,49.186419,-117.289871,Columbia,Columbia,WETLAND,5,Wetland,667.0,665.477
189,STREAM_IERXXX_B_XSAS_0001_C_20210717_COI,X2021_49.186419_117.289871,2021,7,49.186419,-117.289871,Columbia,Columbia,WETLAND,5,Wetland,667.0,665.477
190,STREAM_IERXXX_B_XSPH_0001_A_20210721_COI,X2021_49.678421_115.777125,2021,7,49.678421,-115.777125,Columbia,Columbia,WETLAND,5,Wetland,849.0,849.344
191,STREAM_IERXXX_B_XSPH_0001_B_20210721_COI,X2021_49.678421_115.777125,2021,7,49.678421,-115.777125,Columbia,Columbia,WETLAND,5,Wetland,849.0,849.344
192,STREAM_IERXXX_B_XSPH_0001_C_20210721_COI,X2021_49.678421_115.777125,2021,7,49.678421,-115.777125,Columbia,Columbia,WETLAND,5,Wetland,849.0,849.344
193,STREAM_IERXXX_B_XGRO_0001_A_20210706_COI,X2021_49.49505_117.344156,2021,7,49.49505,-117.344156,Columbia,Columbia,WETLAND,5,Wetland,553.0,559.255
194,STREAM_IERXXX_B_XGRO_0001_B_20210706_COI,X2021_49.49505_117.344156,2021,7,49.49505,-117.344156,Columbia,Columbia,WETLAND,5,Wetland,553.0,559.255
195,STREAM_IERXXX_B_XGRO_0001_C_20210706_COI,X2021_49.49505_117.344156,2021,7,49.49505,-117.344156,Columbia,Columbia,WETLAND,5,Wetland,553.0,559.255
